date;time;r.ProtoId;map.Id;map.GetProtoId();hx;hy;r.GetCurrentCount();r.MaxCount;r.EventNum;
6.9.2018;21:00:36 ;710;3;3;79;88;2;20;1;
6.9.2018;21:00:38 ;711;3;3;63;90;2;20;2;
6.9.2018;21:00:41 ;710;3;3;79;90;3;20;1;
6.9.2018;21:00:45 ;711;3;3;67;95;3;20;2;
6.9.2018;21:00:46 ;710;3;3;71;90;4;20;1;
6.9.2018;21:00:51 ;713;3;3;100;48;2;3;4;
6.9.2018;21:00:51 ;710;3;3;79;96;5;20;1;
6.9.2018;21:00:52 ;711;3;3;55;85;4;20;2;
6.9.2018;21:00:56 ;710;3;3;79;98;6;20;1;
6.9.2018;21:00:59 ;711;3;3;63;95;5;20;2;
6.9.2018;21:01:01 ;710;3;3;79;100;7;20;1;
6.9.2018;21:01:06 ;711;3;3;59;92;6;20;2;
6.9.2018;21:01:06 ;710;3;3;71;89;8;20;1;
6.9.2018;21:01:13 ;711;3;3;67;96;7;20;2;
6.9.2018;21:01:16 ;710;3;3;75;97;9;20;1;
6.9.2018;21:01:20 ;711;3;3;59;91;8;20;2;
6.9.2018;21:01:21 ;710;3;3;71;88;10;20;1;
6.9.2018;21:01:26 ;710;3;3;75;87;10;20;1;
